id,mp12a,mp12b,mp12c,mp12d,mp12e,mp12f
822,1,1,3,3,3,1
823,1,1,3,3,3,2
824,1,1,3,3,1,3
825,1,1,3,2,2,3
826,1,1,1,1,3,1
827,1,1,3,1,1,1
828,1,1,3,2,1,3
829,1,1,3,1,1,3
830,3,3,3,3,1,3
831,1,1,3,3,1,1
832,1,1,3,1,3,1
833,3,3,3,3,3,3
834,3,3,1,3,3,3
835,1,1,3,3,1,3
836,3,3,3,3,3,3
837,1,1,3,1,3,1
838,3,3,3,3,3,3
839,1,1,3,3,2,3
840,1,3,1,3,2,3
841,3,3,1,3,3,3
842,1,3,3,1,1,3
843,1,3,3,1,1,3
844,1,1,3,1,1,1
845,2,2,2,2,2,3
846,1,2,1,3,3,3
847,1,1,3,3,3,3
848,1,1,1,1,1,1
849,1,3,1,3,1,3
850,1,1,3,1,1,1
851,1,1,3,1,1,1
852,3,3,3,3,3,1
853,1,3,1,3,3,3
854,3,3,3,3,1,3
855,1,1,3,3,1,2
856,1,1,3,3,1,3
857,1,1,3,1,1,1
858,1,3,3,3,3,3
859,1,3,3,3,3,1
860,3,3,1,3,3,3
861,1,1,3,1,3,3
862,1,1,3,3,2,3
863,3,3,1,3,3,3
864,1,1,3,2,1,1
865,1,1,3,1,1,1
866,1,1,3,3,1,1
867,3,3,3,3,2,3
868,3,3,3,3,1,3
869,1,3,3,3,1,3
870,1,1,3,1,1,1
871,1,3,3,3,1,3
872,3,3,1,3,2,3
873,1,1,3,1,3,3
874,1,3,1,3,1,3
875,3,3,3,3,3,3
876,1,1,3,2,1,2
877,1,3,3,3,3,3
878,3,3,3,3,3,3
879,1,1,3,2,2,2
880,1,1,1,3,3,3
881,1,1,1,1,1,1
882,1,1,3,3,1,1
883,1,1,3,1,2,2
884,1,1,3,3,1,1
885,1,1,3,3,1,3
886,2,3,2,3,2,2
887,3,3,3,3,3,3
888,1,1,1,1,1,1
889,1,1,3,1,1,1
890,1,3,3,3,1,3
891,1,1,3,3,1,3
892,1,1,3,3,2,1
893,3,3,1,3,3,3
894,1,1,3,3,1,1
895,3,3,1,3,3,3
896,3,3,1,3,3,3
897,1,1,1,3,1,3
898,1,2,3,3,2,3
